episode,reward
400,-1825.0
401,-1870.0
402,-2250.0
403,-1995.0
404,-1841.0
405,-1933.0
406,-1855.0
407,-1874.0
408,-1894.0
409,-1835.0
410,-1911.0
411,-1992.0
412,-1882.0
413,-2325.0
414,-1942.0
415,-1922.0
416,-1940.0
417,-1821.0
418,-1842.0
419,-1911.0
420,-1898.0
421,-3713.0
422,-1909.0
423,-1829.0
424,-2577.0
425,-1875.0
426,-1855.0
427,-1827.0
428,-1844.0
429,-1887.0
430,-1926.0
431,-1849.0
432,-1747.0
433,-1846.0
434,-1883.0
435,-1915.0
436,-1820.0
437,-1901.0
438,-1796.0
439,-1863.0
440,-2038.0
441,-1865.0
442,-1919.0
443,-1675.0
444,-1761.0
445,-1796.0
446,-1950.0
447,-2972.0
448,-1888.0
449,-1845.0
450,-1956.0
451,-1813.0
452,-1809.0
453,-1901.0
454,-1720.0
455,-1805.0
456,-1689.0
457,-1966.0
458,-1861.0
459,-1845.0
460,-1834.0
461,-1764.0
462,-1904.0
463,-1698.0
464,-1852.0
465,-2049.0
466,-1829.0
467,-1780.0
468,-1764.0
469,-1677.0
470,-1912.0
471,-1755.0
472,-1769.0
473,-1926.0
474,-1718.0
475,-1812.0
476,-1764.0
477,-1943.0
478,-1934.0
479,-1766.0
480,-1892.0
481,-1915.0
482,-1782.0
483,-1870.0
484,-1780.0
485,-1934.0
486,-1733.0
487,-2025.0
488,-1834.0
489,-1834.0
490,-1837.0
491,-1846.0
492,-1852.0
493,-2119.0
494,-1713.0
495,-1755.0
496,-1889.0
497,-1865.0
498,-1781.0
499,-1666.0
500,-1631.0
501,-1767.0
502,-1904.0
503,-1767.0
504,-1730.0
505,-1680.0
506,-1778.0
507,-1770.0
508,-1678.0
509,-1736.0
510,-1836.0
511,-1902.0
512,-1825.0
513,-1974.0
514,-1658.0
515,-1997.0
516,-1699.0
517,-1665.0
518,-3456.0
519,-3104.0
520,-1647.0
521,-1907.0
522,-1726.0
523,-1725.0
524,-1680.0
525,-1660.0
526,-1873.0
527,-1930.0
528,-2759.0
529,-3072.0
530,-2312.0
531,-1751.0
532,-1941.0
533,-1796.0
534,-1827.0
535,-1915.0
536,-1707.0
537,-2149.0
538,-1897.0
539,-1657.0
540,-1665.0
541,-1663.0
542,-1869.0
543,-1936.0
544,-1570.0
545,-1734.0
546,-1724.0
547,-1787.0
548,-1699.0
549,-1962.0
550,-1637.0
551,-1753.0
552,-1678.0
553,-1795.0
554,-1718.0
555,-1727.0
556,-1711.0
557,-1854.0
558,-1774.0
559,-1735.0
560,-1689.0
561,-1843.0
562,-1823.0
563,-1639.0
564,-1792.0
565,-1945.0
566,-1610.0
567,-1779.0
568,-1640.0
569,-1746.0
570,-1638.0
571,-1667.0
572,-1892.0
573,-1674.0
574,-1839.0
575,-1635.0
576,-1707.0
577,-1687.0
578,-1742.0
579,-1588.0
580,-1789.0
581,-1698.0
582,-1820.0
583,-1746.0
584,-1669.0
585,-2009.0
586,-1683.0
587,-1823.0
588,-1656.0
589,-1695.0
590,-1696.0
591,-1806.0
592,-1941.0
593,-1768.0
594,-1715.0
595,-1655.0
596,-1747.0
597,-1648.0
598,-1762.0
599,-1791.0
600,-1893.0
601,-1771.0
602,-1799.0
603,-1801.0
604,-1791.0
605,-1718.0
606,-1671.0
607,-1833.0
608,-1738.0
609,-1797.0
610,-1617.0
611,-1705.0
612,-1658.0
613,-1768.0
614,-1639.0
615,-1668.0
616,-1786.0
617,-1728.0
618,-1699.0
619,-1700.0
620,-1685.0
621,-1721.0
622,-1632.0
623,-1702.0
624,-1748.0
625,-1731.0
626,-1711.0
627,-1678.0
628,-1624.0
629,-1898.0
630,-1532.0
631,-1751.0
632,-1504.0
633,-1602.0
634,-1763.0
635,-1514.0
636,-1738.0
637,-2048.0
638,-1637.0
639,-1609.0
640,-1719.0
641,-1709.0
642,-1513.0
643,-1634.0
644,-1551.0
645,-1659.0
646,-1653.0
647,-1692.0
648,-1606.0
649,-1592.0
650,-1595.0
651,-1620.0
652,-1726.0
653,-1508.0
654,-1594.0
655,-1750.0
656,-1639.0
657,-1719.0
658,-1671.0
659,-1853.0
660,-1755.0
661,-1876.0
662,-1502.0
663,-1676.0
664,-1633.0
665,-1662.0
666,-1653.0
667,-1640.0
668,-1633.0
669,-1623.0
670,-1618.0
671,-1688.0
672,-1673.0
673,-1792.0
674,-1700.0
675,-1745.0
676,-1939.0
677,-1663.0
678,-1530.0
679,-1866.0
680,-1570.0
681,-1587.0
682,-1588.0
683,-1679.0
684,-1645.0
685,-1670.0
686,-1674.0
687,-1636.0
688,-1737.0
689,-1697.0
690,-1621.0
691,-1575.0
692,-1641.0
693,-1622.0
694,-1534.0
695,-1523.0
696,-1644.0
697,-1593.0
698,-1543.0
699,-1639.0
700,-1672.0
701,-1663.0
702,-1665.0
703,-1741.0
704,-1680.0
705,-1607.0
706,-1614.0
707,-1664.0
708,-1595.0
709,-1656.0
710,-1605.0
711,-1640.0
712,-1685.0
713,-1560.0
714,-1799.0
715,-1536.0
716,-1601.0
717,-1701.0
718,-1514.0
719,-1673.0
720,-1588.0
721,-1858.0
722,-1708.0
723,-1747.0
724,-1498.0
725,-1700.0
726,-1567.0
727,-1546.0
728,-1636.0
729,-1765.0
730,-1672.0
731,-1591.0
732,-1637.0
733,-1527.0
734,-1608.0
735,-1579.0
736,-1626.0
737,-1652.0
738,-1699.0
739,-1652.0
740,-1555.0
741,-1601.0
742,-1640.0
743,-1691.0
744,-1605.0
745,-1776.0
746,-1566.0
747,-1641.0
748,-1640.0
749,-1541.0
750,-1645.0
751,-1586.0
752,-1654.0
753,-1604.0
754,-1616.0
755,-1523.0
756,-1592.0
757,-1655.0
758,-1603.0
759,-1509.0
760,-1499.0
761,-1546.0
762,-1526.0
763,-1597.0
764,-1657.0
765,-1469.0
766,-1652.0
767,-1622.0
768,-1562.0
769,-1602.0
770,-1592.0
771,-1690.0
772,-1584.0
773,-1599.0
774,-1529.0
775,-1611.0
776,-1649.0
777,-1601.0
778,-1674.0
779,-1593.0
780,-1535.0
781,-1517.0
782,-1586.0
783,-1516.0
784,-1748.0
785,-1574.0
786,-1642.0
787,-1541.0
788,-1576.0
789,-1567.0
790,-1595.0
791,-1542.0
792,-1584.0
793,-1507.0
794,-1585.0
795,-1552.0
796,-1593.0
797,-1617.0
798,-1666.0
799,-1585.0
800,-1366.0
801,-1516.0
802,-1592.0
803,-1585.0
804,-1759.0
805,-1605.0
806,-1533.0
807,-1508.0
808,-1523.0
809,-1572.0
810,-1546.0
811,-1586.0
812,-1537.0
813,-1517.0
814,-1693.0
815,-1525.0
816,-1518.0
817,-1629.0
818,-1472.0
819,-1670.0
820,-1549.0
821,-1518.0
822,-1484.0
823,-1546.0
824,-1582.0
825,-1581.0
826,-1556.0
827,-1590.0
828,-1523.0
829,-1544.0
830,-1484.0
831,-1507.0
832,-1535.0
833,-1456.0
834,-1615.0
835,-1374.0
836,-1421.0
837,-1623.0
838,-1501.0
839,-1469.0
840,-1443.0
841,-1564.0
842,-1488.0
843,-1562.0
844,-1495.0
845,-1582.0
846,-1528.0
847,-1466.0
848,-1458.0
849,-1583.0
850,-1451.0
851,-1509.0
852,-1534.0
853,-1527.0
854,-1544.0
855,-1624.0
856,-1524.0
857,-1593.0
858,-1426.0
859,-1504.0
860,-1506.0
861,-1497.0
862,-1590.0
863,-1435.0
864,-1453.0
865,-1581.0
866,-1487.0
867,-1554.0
868,-1429.0
869,-1433.0
870,-1476.0
871,-1490.0
872,-1435.0
873,-1471.0
874,-1518.0
875,-1554.0
876,-1447.0
877,-1468.0
878,-1488.0
879,-1447.0
880,-1462.0
881,-1501.0
882,-1466.0
883,-1526.0
884,-1590.0
885,-1524.0
886,-1444.0
887,-1389.0
888,-1422.0
889,-1600.0
890,-1433.0
891,-1484.0
892,-1512.0
893,-1652.0
894,-1646.0
895,-1531.0
896,-1390.0
897,-1522.0
898,-1416.0
899,-1430.0
900,-1500.0
901,-1600.0
902,-1536.0
903,-1533.0
904,-1588.0
905,-1442.0
906,-1559.0
907,-1470.0
908,-1487.0
909,-1554.0
910,-1535.0
911,-1497.0
912,-1425.0
913,-1543.0
914,-1513.0
915,-1580.0
916,-1465.0
917,-1522.0
918,-1517.0
919,-1472.0
920,-1543.0
921,-1515.0
922,-1430.0
923,-1344.0
924,-1470.0
925,-1478.0
926,-1392.0
927,-1452.0
928,-1450.0
929,-1423.0
930,-1545.0
931,-1445.0
932,-1451.0
933,-1442.0
934,-1530.0
935,-1460.0
936,-1567.0
937,-1433.0
938,-1552.0
939,-1481.0
940,-1482.0
941,-1461.0
942,-1506.0
943,-1551.0
944,-1505.0
945,-1588.0
946,-1553.0
947,-1453.0
948,-1481.0
949,-1451.0
950,-1523.0
951,-1418.0
952,-1523.0
953,-1443.0
954,-1378.0
955,-1468.0
956,-1500.0
957,-1448.0
958,-1482.0
959,-1584.0
960,-1349.0
961,-1413.0
962,-1336.0
963,-1571.0
964,-1502.0
965,-1459.0
966,-1362.0
967,-1562.0
968,-1603.0
969,-1477.0
970,-1457.0
971,-1469.0
972,-1420.0
973,-1460.0
974,-1547.0
975,-1454.0
976,-1516.0
977,-1438.0
978,-1555.0
979,-1358.0
980,-1526.0
981,-1463.0
982,-1462.0
983,-1534.0
984,-1475.0
985,-1408.0
986,-1516.0
987,-1565.0
988,-1454.0
989,-1516.0
990,-1350.0
991,-1446.0
992,-1485.0
993,-1482.0
994,-1464.0
995,-1355.0
996,-1480.0
997,-1455.0
998,-1439.0
999,-1406.0
1000,-1360.0
